,ID,SMILES,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
776,DB00944,CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,556.39775898418,4,0,6.762200000000008,False
777,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,180.042258736,3,1,1.3101,True
778,DB00946,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,280.109944372,3,1,4.040500000000003,True
779,DB00947,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H],606.3166074639998,3,2,8.682600000000004,False
780,DB00948,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(C1=O)S(C)(=O)=O)C1=CC=CC=C1)C(O)=O,539.11445476,8,3,-0.23379999999999695,True
781,DB00949,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1,238.095356928,4,2,0.9607999999999993,True
782,DB00950,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,501.287908728,4,3,5.510500000000007,False
783,DB00951,NNC(=O)C1=CC=NC=C1,137.058911844,3,2,-0.3149000000000006,True
784,DB00952,CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1,335.16674804,3,2,2.0687999999999995,True
785,DB00953,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2,269.164045608,4,1,1.9118,True
786,DB00955,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,475.3005986519999,12,8,-3.200699999999992,False
787,DB00956,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,299.152143532,4,0,1.9332999999999998,True
788,DB00957,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CC\C(C=C3CC[C@@]21[H])=N/O,369.230393852,4,1,4.714500000000005,True
789,DB00958,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H],371.04449796399996,6,2,0.4932,True
790,DB00959,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,374.20932406,5,3,1.8035999999999996,True
791,DB00960,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,248.15247788,3,3,1.9055999999999995,True
792,DB00961,CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,246.173213324,2,1,2.7262400000000007,True
793,DB00962,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N,305.12766010000007,5,0,2.6407800000000003,True
